Gender,Year_of_Study,Branch,Type_of_Schooling_till_10th_Grade,Percentage_in_Class_10th,Location_of_Class_10th_School, Type_of_Schooling_for_class_12th,Percentage_in_Class_12th,Location_of_Class_12th_School,Dropped_an_year_after_School,First_generation_graduate ,"Volunteer_groups(NCC,NSS, Social Welfare Groups  or any other)",Programming_languages_do_you_know,Actively_involved_in_Specific_technology,Exposure_to_DSA,Exposure_to_GitHub ,Associated_with_any_developer_Community,Active_in_developer_Communities,Participating_in_Hackathons_and_other_competitions,Made_any_Software_based_projects,"Made_any_Hardware_based_project (Arduino, Raspberry Pi, Robots or any other)",Have_you_ever_pitched_any_idea,Additional_skills,Achievements
Male,Third,CSE/IT,Normal Schooling,>=80% and <90%,Town,Normal Schooling,>=80% and <90%,Town,Yes,No,No,More than 5,Development;Research;Designing,Hard,Medium,Yes,Active Member,Participated,Yes,No,Yes,Cultural Activities,Scholarships;Hackathons;Research Papers;Projects
Female,Second,CSE/IT,Schooling with Tuitions,>= 90%,City,Schooling with Tuitions,>=90%,City,No,No,No,2 to 3,Development;Competitive Coding,Medium,Medium,No,Moderately Active,Not yet participated,Yes,No,No,Cultural Activities,None
Male,Second,CSE/IT,Normal Schooling,>= 90%,City,Coaching Based Schools,>=90%,City,Yes,No,No,2 to 3,Development,Medium,Medium,No,Inactive Member,Not yet participated,Yes,No,No,Photography;Video Editing,None
Male,Second,CSE/IT,Normal Schooling,>=70% and <80%,City,Normal Schooling,>=80% and <90%,City,Yes,No,No,2 to 3,None,Medium,Easy,Yes,Moderately Active,Not yet participated,Yes,Yes,No,None,None
Male,Second,CSE/IT,Normal Schooling,>=70% and <80%,City,Normal Schooling,>=80% and <90%,City,Yes,No,No,More than 5,Development,Medium,Hard,Yes,Active Member,Participated,Yes,No,Yes,None,Hackathons;Coding Competitions;Projects
Male,Second,CSE/IT,Normal Schooling,>= 90%,Town,Normal Schooling,>=90%,Town,No,Yes,Yes,2 to 3,Development;Research,Medium,Medium,Yes,Active Member,Participated and Won,Yes,No,Yes,Cultural Activities,Scholarships;Hackathons;Coding Competitions;Projects
Female,Second,CSE/IT,Schooling with Tuitions,>=80% and <90%,Town,Schooling with Tuitions,>=90%,Town,Yes,Yes,No,2 to 3,Development,Medium,Medium,No,Inactive Member,Not yet participated,No,Yes,No,Sports,None
Male,Second,CSE/IT,Normal Schooling,>= 90%,City,Normal Schooling,>=80% and <90%,City,No,No,No,2 to 3,Development,Medium,Medium,No,No Account,Not yet participated,No,No,No,Sports,None
Male,Second,CSE/IT,Normal Schooling,<60%,Village,Distance learning,>=60% and <70%,Village,No,No,Yes,More than 5,None,Easy,Easy,Yes,Inactive Member,Participated and Won,Yes,Yes,Yes,Photography;Video Editing;Sports;Cultural Activities;None,Scholarships;Hackathons;Coding Competitions;Research Papers;Projects;None
Male,Second,CSE/IT,Schooling with Tuitions,>= 90%,Town,Schooling with Tuitions,>=90%,Town,No,No,No,2 to 3,Competitive Coding,Medium,Easy,No,Inactive Member,Participated,No,No,Yes,Photography;Sports,Coding Competitions
